packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
1,1,70wYA8oYHoMzhRRkARoMhU,70wYA8oYHoMzhRRkARoMhU,yes,When You Were Young,The Killers,Sam's Town,130.000,178.000,1,0.000000,https://open.spotify.com/track/70wYA8oYHoMzhRRkARoMhU
1,2,70wYA8oYHoMzhRRkARoMhU,458JkK5eJhh4C4s6nTuz7g,yes,Dreams - Remastered 2026,The Cranberries,"Everybody Else Is Doing It, So Why Can't We? (Remastered 2026)",128.000,182.000,1,0.136019,https://open.spotify.com/track/458JkK5eJhh4C4s6nTuz7g
1,3,70wYA8oYHoMzhRRkARoMhU,17lu4tymfnhmcIDlzBbtAb,on_repeat,For Those About to Rock (We Salute You),AC/DC,For Those About to Rock (We Salute You),134.000,176.000,1,0.170851,https://open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb
1,4,70wYA8oYHoMzhRRkARoMhU,0A0RBBTrgfq9eClnw6ZXT7,yes,Future Starts Slow,The Kills,Blood Pressures,128.000,189.000,1,0.311329,https://open.spotify.com/track/0A0RBBTrgfq9eClnw6ZXT7
3,1,0babKgXwpYCxbmgTc2Ikrh,0babKgXwpYCxbmgTc2Ikrh,yes,The Way She Looks,Two Feet,The Way She Looks,135.000,212.000,1,0.000000,https://open.spotify.com/track/0babKgXwpYCxbmgTc2Ikrh
3,2,0babKgXwpYCxbmgTc2Ikrh,2d4e45fmUnguxh6yqC7gNT,on_repeat,Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,136.000,209.000,1,0.088157,https://open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT
3,3,0babKgXwpYCxbmgTc2Ikrh,7feSbMqJGg9yL0s6ypxy9S,yes,Girls on Film,Duran Duran,Decade,132.000,223.000,1,0.312633,https://open.spotify.com/track/7feSbMqJGg9yL0s6ypxy9S
3,4,0babKgXwpYCxbmgTc2Ikrh,5qeLeyIWCPe1FpdJLQTUDW,yes,The Wild Boys,Duran Duran,Decade,116.000,217.000,1,0.751883,https://open.spotify.com/track/5qeLeyIWCPe1FpdJLQTUDW
4,1,3skn2lauGk7Dx6bVIt5DVj,3skn2lauGk7Dx6bVIt5DVj,yes,Starlight,Muse,Black Holes and Revelations,122.000,174.000,1,0.000000,https://open.spotify.com/track/3skn2lauGk7Dx6bVIt5DVj
4,2,3skn2lauGk7Dx6bVIt5DVj,5ehcf6UL1TkwozB386cRAp,yes,Don't Stop Believin' (2024 Remaster),Journey,Greatest Hits (2024 Remaster),119.000,174.000,1,0.114773,https://open.spotify.com/track/5ehcf6UL1TkwozB386cRAp
4,3,3skn2lauGk7Dx6bVIt5DVj,57bgtoPSgt236HzfBOd8kj,on_repeat,Thunderstruck,AC/DC,The Razors Edge,134.000,165.000,1,0.517274,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
4,4,3skn2lauGk7Dx6bVIt5DVj,7LRMbd3LEoV5wZJvXT1Lwb,on_repeat,T.N.T,AC/DC,High Voltage,126.000,195.000,1,0.576805,https://open.spotify.com/track/7LRMbd3LEoV5wZJvXT1Lwb
